epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4072.18,1.48175,1.18852,1.10163,0.46212,0.3808,0.37824,0.22487,1.3943,1.10932,1.07654,0.0083764,0.0083764,0.0083764
43,4170.16,1.47501,1.18323,1.09836,0.47349,0.37474,0.37917,0.22663,1.39469,1.10776,1.07737,0.0083368,0.0083368,0.0083368
44,4267.12,1.4752,1.17355,1.09894,0.48314,0.37284,0.38187,0.22822,1.38915,1.10299,1.07495,0.0082972,0.0082972,0.0082972
45,4365,1.47344,1.17653,1.09738,0.47887,0.3792,0.38279,0.22861,1.39203,1.09871,1.07438,0.0082576,0.0082576,0.0082576
46,4462.76,1.46991,1.17155,1.09608,0.47648,0.37772,0.38413,0.23069,1.38461,1.0947,1.07082,0.008218,0.008218,0.008218
47,4560.12,1.47042,1.16702,1.09144,0.48425,0.37542,0.38782,0.23125,1.38316,1.09321,1.07073,0.0081784,0.0081784,0.0081784
48,4656.89,1.4637,1.16162,1.09144,0.48751,0.37731,0.38653,0.2299,1.38541,1.09248,1.07077,0.0081388,0.0081388,0.0081388
49,4753.84,1.46263,1.15849,1.09249,0.49902,0.372,0.3868,0.23192,1.38312,1.08628,1.06951,0.0080992,0.0080992,0.0080992
50,4851.04,1.46412,1.15927,1.08953,0.49299,0.38001,0.3931,0.23611,1.37531,1.08219,1.06653,0.0080596,0.0080596,0.0080596
51,4947.42,1.46101,1.15135,1.08758,0.49217,0.38383,0.39282,0.23604,1.37634,1.08396,1.06593,0.00802,0.00802,0.00802
52,5044.93,1.45011,1.14387,1.08875,0.48638,0.38756,0.39592,0.23712,1.37388,1.07768,1.06466,0.0079804,0.0079804,0.0079804
53,5141.42,1.45304,1.14354,1.08735,0.48341,0.38444,0.39351,0.23699,1.37165,1.07634,1.06394,0.0079408,0.0079408,0.0079408
54,5239.15,1.44961,1.14048,1.08409,0.48956,0.38933,0.39951,0.23963,1.3689,1.07274,1.06255,0.0079012,0.0079012,0.0079012
55,5336.13,1.45748,1.14301,1.08423,0.49726,0.38787,0.40097,0.24165,1.36657,1.07117,1.06215,0.0078616,0.0078616,0.0078616
56,5432.96,1.45217,1.13792,1.08534,0.49734,0.38959,0.40123,0.24073,1.36946,1.07017,1.06102,0.007822,0.007822,0.007822
57,5529.82,1.44755,1.13365,1.08336,0.48949,0.38966,0.399,0.24005,1.36675,1.06681,1.06148,0.0077824,0.0077824,0.0077824
58,5626.05,1.4399,1.12871,1.08184,0.49204,0.39075,0.40216,0.24258,1.3633,1.06499,1.05947,0.0077428,0.0077428,0.0077428
59,5722.77,1.4427,1.12397,1.07886,0.49495,0.39085,0.40251,0.24246,1.36637,1.0629,1.05906,0.0077032,0.0077032,0.0077032
60,5820.05,1.44175,1.1228,1.07708,0.48771,0.39722,0.40346,0.24204,1.3625,1.0609,1.05775,0.0076636,0.0076636,0.0076636
61,5916.42,1.43846,1.1213,1.07797,0.49301,0.395,0.40539,0.24506,1.36108,1.05527,1.05702,0.007624,0.007624,0.007624
62,6013.19,1.43644,1.11942,1.07606,0.50127,0.39866,0.40812,0.24661,1.35786,1.05529,1.05718,0.0075844,0.0075844,0.0075844
63,6109.9,1.43542,1.11333,1.07513,0.49903,0.39505,0.40648,0.24593,1.35734,1.05841,1.05593,0.0075448,0.0075448,0.0075448
64,6206.08,1.43222,1.11099,1.07384,0.51777,0.38784,0.40776,0.24579,1.35896,1.05469,1.05552,0.0075052,0.0075052,0.0075052
65,6302.44,1.43007,1.11038,1.07302,0.50277,0.39587,0.41111,0.24807,1.3536,1.04956,1.05359,0.0074656,0.0074656,0.0074656
